frequency,attack,chord,free,suction,scaled
800,0.0,0.3048,71.3,0.00266337,126.201
1250,0.0,0.3048,71.3,0.00266337,125.951
1600,0.0,0.3048,71.3,0.00266337,127.591
2500,0.0,0.3048,71.3,0.00266337,125.571
3150,0.0,0.3048,71.3,0.00266337,125.201
4000,0.0,0.3048,71.3,0.00266337,123.061
5000,0.0,0.3048,71.3,0.00266337,121.301
6300,0.0,0.3048,71.3,0.00266337,119.541
500,0.0,0.3048,55.5,0.00283081,126.416
630,0.0,0.3048,55.5,0.00283081,127.696
1000,0.0,0.3048,55.5,0.00283081,126.966
1250,0.0,0.3048,55.5,0.00283081,126.086
1600,0.0,0.3048,55.5,0.00283081,126.986
2000,0.0,0.3048,55.5,0.00283081,126.616
2500,0.0,0.3048,55.5,0.00283081,124.106
4000,0.0,0.3048,55.5,0.00283081,121.106
5000,0.0,0.3048,55.5,0.00283081,119.606
6300,0.0,0.3048,55.5,0.00283081,117.976
10000,0.0,0.3048,55.5,0.00283081,113.076
12500,0.0,0.3048,55.5,0.00283081,111.076
200,0.0,0.3048,39.6,0.00310138,118.129
315,0.0,0.3048,39.6,0.00310138,122.779
400,0.0,0.3048,39.6,0.00310138,124.809
500,0.0,0.3048,39.6,0.00310138,126.959
630,0.0,0.3048,39.6,0.00310138,128.629
800,0.0,0.3048,39.6,0.00310138,129.099
1250,0.0,0.3048,39.6,0.00310138,125.499
1600,0.0,0.3048,39.6,0.00310138,124.049
2000,0.0,0.3048,39.6,0.00310138,123.689
2500,0.0,0.3048,39.6,0.00310138,121.399
3150,0.0,0.3048,39.6,0.00310138,120.319
5000,0.0,0.3048,39.6,0.00310138,117.789
6300,0.0,0.3048,39.6,0.00310138,116.229
8000,0.0,0.3048,39.6,0.00310138,114.779
10000,0.0,0.3048,39.6,0.00310138,112.139
12500,0.0,0.3048,39.6,0.00310138,109.619
200,0.0,0.3048,31.7,0.00331266,117.195
250,0.0,0.3048,31.7,0.00331266,118.595
315,0.0,0.3048,31.7,0.00331266,122.765
400,0.0,0.3048,31.7,0.00331266,125.045
500,0.0,0.3048,31.7,0.00331266,127.315
630,0.0,0.3048,31.7,0.00331266,129.095
800,0.0,0.3048,31.7,0.00331266,129.235
1000,0.0,0.3048,31.7,0.00331266,127.365
1600,0.0,0.3048,31.7,0.00331266,122.365
2000,0.0,0.3048,31.7,0.00331266,122.375
2500,0.0,0.3048,31.7,0.00331266,120.755
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,0.0,0.3048,31.7,0.00331266,118.145
6300,0.0,0.3048,31.7,0.00331266,113.775
8000,0.0,0.3048,31.7,0.00331266,110.515
10000,0.0,0.3048,31.7,0.00331266,108.265
800,1.5,0.3048,71.3,0.00336729,127.122
1000,1.5,0.3048,71.3,0.00336729,125.992
1250,1.5,0.3048,71.3,0.00336729,125.872
1600,1.5,0.3048,71.3,0.00336729,126.632
2000,1.5,0.3048,71.3,0.00336729,126.642
2500,1.5,0.3048,71.3,0.00336729,124.512
4000,1.5,0.3048,71.3,0.00336729,121.762
8000,1.5,0.3048,71.3,0.00336729,115.372
10000,1.5,0.3048,71.3,0.00336729,113.492
12500,1.5,0.3048,71.3,0.00336729,109.222
16000,1.5,0.3048,71.3,0.00336729,106.582
315,1.5,0.3048,39.6,0.00392107,121.851
400,1.5,0.3048,39.6,0.00392107,124.001
