Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point_temperature,Solar_Radiation,Rainfall,Snowfall,Rented_Bike_Count
0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,254
1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,204
2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,173
5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,100
6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,181
7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,460
8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,930
9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,490
12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,449
13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,451
14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,447
16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,484
17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,555
18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,862
19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,600
21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,405
22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,398
23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,323
0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,328
1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,308
2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,262
3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,167
5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,79
7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,146
10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,334
11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,388
12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,479
14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,611
15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,589
16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,618
17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,572
18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,489
19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,385
20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,359
22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,354
23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,366
1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,227
2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,228
3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,117
4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,76
5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,32
6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,13
7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,22
8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,85
10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,200
11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,273
12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,333
15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,621
16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,598
17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,545
18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,443
19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,422
20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,397
21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,385
22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,350
23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,303
0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,285
1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,186
2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,112
3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,65
4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,41
5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,82
6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,200
7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,498
8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,937
10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,311
11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,379
12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,393
13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,391
14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,338
15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,341
17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,515
18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,807
19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,568
20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,398
21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,397
22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,353
23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,248
0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,216
1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,198
2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,124
3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,62
5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,82
7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,381
8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,812
9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,462
10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,269
11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,334
12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,321
15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,353
16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,435
17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,529
18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,789
19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,597
20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,418
21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,415
22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,393
23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,244
1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,144
2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,117
3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,78
5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,87
6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,142
11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,381
12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,405
13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,442
14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,416
16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,496
17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,239
18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,204
19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,205
20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,190
