pgain,vgain,class
5,4,0.28125095
6,5,0.5062525
4,3,0.35625148
3,2,5.500033
4,3,0.8062546
3,2,5.100014
6,5,0.76875436
4,1,1.0312537
6,5,0.46875226
5,4,0.39375174
4,1,0.28125095
3,1,1.1
5,4,0.5062525
3,1,0.9000011
5,4,0.46875226
5,4,0.5437528
4,2,0.20625044
4,3,0.9187554
4,3,1.1062483
4,2,0.58125305
6,5,0.58125305
6,5,0.39375174
3,1,5.3000236
4,2,0.46875226
3,2,1.8999897
3,2,4.299977
4,2,0.35625148
4,1,0.5437528
6,5,0.5062525
3,2,1.1
3,1,0.5000003
4,1,0.20625044
4,1,0.69375384
4,3,0.88125515
4,3,0.9187554
5,3,0.6562536
4,3,1.0312537
3,2,4.0999675
3,1,0.7000007
6,5,0.431252
3,2,4.6999955
5,4,0.5062525
4,2,0.7312541
4,3,1.1437455
4,2,0.88125515
4,3,1.0312537
4,3,0.9562557
4,2,0.58125305
5,4,0.58125305
5,4,0.431252
4,3,0.7312541
4,2,0.5062525
3,2,1.6999923
5,2,0.5437528
6,5,0.8062546
4,2,0.28125095
6,5,0.5062525
4,1,0.35625148
4,1,0.28125095
3,1,4.499986
3,2,4.6999955
3,2,1.2999974
6,5,0.5062525
5,4,0.46875226
5,4,0.76875436
6,5,0.58125305
5,4,0.46875226
4,3,0.8437549
4,2,0.8437549
4,2,0.35625148
5,3,0.69375384
4,3,1.068751
4,3,1.1062483
6,3,0.5437528
4,1,0.2437507
3,1,0.9000011
4,1,0.431252
3,2,4.0999675
4,3,0.99375594
4,2,0.5062525
3,2,4.499986
4,2,0.2437507
4,1,1.1812428
6,5,0.431252
3,1,2.499982
5,4,0.5062525
4,1,0.7312541
6,5,0.46875226
4,3,1.068751
4,3,1.2187401
4,1,0.8437549
6,5,0.31875122
4,2,0.99375594
3,1,1.4999949
4,1,0.58125305
5,1,0.5437528
3,1,1.2999974
4,3,1.0312537
3,1,1.8999897
5,4,0.431252
5,4,0.58125305
3,2,4.299977
5,4,0.31875122
4,3,0.5437528
6,5,0.28125095
4,2,0.35625148
4,2,0.46875226
6,5,0.5437528
4,1,0.6187533
5,4,0.5062525
4,1,0.20625044
3,1,3.899964
4,2,0.5062525
4,3,1.1062483
3,1,3.899964
4,2,0.8062546
3,1,3.899964
3,2,1.4999949
3,1,5.100014
3,2,1.4999949
4,1,0.88125515
5,4,0.8062546
3,1,0.7000007
3,2,0.9000011
4,1,0.2437507
4,3,0.99375594
3,1,4.6999955
4,3,0.58125305
3,2,2.6999795
6,5,0.46875226
3,1,3.6999667
4,3,0.9562557
3,2,4.499986
6,5,0.8062546
